time_key,date,day,month,quarter,year
1,2024-01-11,11,1,1,2024
2,2024-01-24,24,1,1,2024
3,2024-01-10,10,1,1,2024
4,2024-01-16,16,1,1,2024
5,2024-01-30,30,1,1,2024
6,2024-01-31,31,1,1,2024
7,2024-02-05,5,2,1,2024
8,2024-01-15,15,1,1,2024
9,2024-03-25,25,3,1,2024
10,2024-04-10,10,4,2,2024
11,2024-04-22,22,4,2,2024
12,2024-09-03,3,9,3,2024
13,2024-09-13,13,9,3,2024
14,2024-09-23,23,9,3,2024
15,2024-10-28,28,10,4,2024
16,2024-06-13,13,6,2,2024
17,2024-06-19,19,6,2,2024
18,2024-08-29,29,8,3,2024
19,2024-08-02,2,8,3,2024
20,2024-05-23,23,5,2,2024
21,2024-05-27,27,5,2,2024
22,2024-05-29,29,5,2,2024
23,2024-07-25,25,7,3,2024
24,2024-04-30,30,4,2,2024
25,2024-05-16,16,5,2,2024
26,2024-06-04,4,6,2,2024
27,2024-07-03,3,7,3,2024
28,2024-02-28,28,2,1,2024
29,2024-03-04,4,3,1,2024
30,2024-07-24,24,7,3,2024
31,2024-05-22,22,5,2,2024
32,2024-11-04,4,11,4,2024
33,2024-05-28,28,5,2,2024
34,2024-05-20,20,5,2,2024
35,2024-12-20,20,12,4,2024
36,2024-03-11,11,3,1,2024
37,2024-05-09,9,5,2,2024
38,2024-04-01,1,4,2,2024
39,2024-07-08,8,7,3,2024
40,2024-06-25,25,6,2,2024
41,2024-06-27,27,6,2,2024
42,2024-06-03,3,6,2,2024
43,2024-06-28,28,6,2,2024
44,2024-07-17,17,7,3,2024
45,2024-06-11,11,6,2,2024
46,2024-06-12,12,6,2,2024
47,2024-02-12,12,2,1,2024
48,2024-04-17,17,4,2,2024
49,2024-04-19,19,4,2,2024
50,2024-01-09,9,1,1,2024
51,2024-01-12,12,1,1,2024
52,2024-06-05,5,6,2,2024
53,2024-04-16,16,4,2,2024
54,2024-03-05,5,3,1,2024
55,2024-03-08,8,3,1,2024
56,2024-09-25,25,9,3,2024
57,2024-08-20,20,8,3,2024
58,2024-05-21,21,5,2,2024
59,2024-07-31,31,7,3,2024
60,2024-11-19,19,11,4,2024
61,2024-11-22,22,11,4,2024
62,2024-11-08,8,11,4,2024
63,2024-11-21,21,11,4,2024
64,2024-12-05,5,12,4,2024
65,2024-12-13,13,12,4,2024
66,2024-02-20,20,2,1,2024
