symbol_key,symbol,company_name,sector,industry
1,TEAM,Atlassian Corporation,Technology,Software - Application
2,WDS,Woodside Energy Group Limited,Energy,Oil & Gas E&P
3,OSW,OneSpaWorld Holdings Limited,Consumer Cyclical,Leisure
4,ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified
5,AGO,Assured Guaranty Ltd.,Financial Services,Insurance - Specialty
6,ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping
7,AXS,Axis Capital Holdings Limited,Financial Services,Insurance - Specialty
8,BNT,Brookfield Wealth Solutions Ltd,Financial Services,Insurance - Diversified
9,BORR,Borr Drilling Limited,Energy,Oil & Gas Drilling
10,DHT,"DHT Holdings, Inc.",Energy,Oil & Gas Midstream
11,EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance
12,ESGR,Enstar Group Limited,Financial Services,Insurance - Diversified
13,ESNT,Essent Group Ltd.,Financial Services,Insurance - Specialty
14,FIHL,Fidelis Insurance Holdings Limi,Financial Services,Insurance - Diversified
15,G,Genpact Limited,Technology,Information Technology Services
16,GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream
17,GOGL,Golden Ocean Group Limited,Industrials,Marine Shipping
18,HG,"Hamilton Insurance Group, Ltd.",Financial Services,Insurance - Reinsurance
19,JRVR,"James River Group Holdings, Ltd",Financial Services,Insurance - Specialty
20,LBTYA,Liberty Global Ltd.,Communication Services,Telecom Services
21,LBTYK,Liberty Global Ltd.,Communication Services,Telecom Services
22,LILA,Liberty Latin America Ltd.,Communication Services,Telecom Services
23,LILAK,Liberty Latin America Ltd.,Communication Services,Telecom Services
24,MHLD,"Maiden Holdings, Ltd.",Financial Services,Insurance - Reinsurance
25,NAT,Nordic American Tankers Limited,Energy,Oil & Gas Midstream
26,NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling
27,RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance
28,SDRL,Seadrill Limited,Energy,Oil & Gas Drilling
29,SFL,SFL Corporation Ltd,Industrials,Marine Shipping
30,SIG,Signet Jewelers Limited,Consumer Cyclical,Luxury Goods
31,SPNT,SiriusPoint Ltd.,Financial Services,Insurance - Reinsurance
32,TK,Teekay Corporation Ltd.,Energy,Oil & Gas Midstream
33,TNK,Teekay Tankers Ltd.,Energy,Oil & Gas Midstream
34,VAL,Valaris Limited,Energy,Oil & Gas Equipment & Services
35,VIK,Viking Holdings Ltd,Consumer Cyclical,Travel Services
36,WTM,White Mountains Insurance Group,Financial Services,Insurance - Property & Casualty
37,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers
38,BAK,Braskem SA,Basic Materials,Chemicals
39,BBD,Banco Bradesco Sa,Financial Services,Banks - Regional
40,BRFS,BRF S.A.,Consumer Defensive,Packaged Foods
41,CIG,Comp En De Mn Cemig,Utilities,Utilities - Diversified
42,EBR,Centrais Electricas Brasileiras,Utilities,Utilities - Renewable
43,GGB,Gerdau S.A.,Basic Materials,Steel
44,INTR,Inter & Co. Inc.,Financial Services,Banks - Regional
45,ITUB,Itau Unibanco Banco Holding SA,Financial Services,Banks - Regional
46,NU,Nu Holdings Ltd.,Financial Services,Banks - Regional
47,PAGS,PagSeguro Digital Ltd.,Technology,Software - Infrastructure
48,PBR-A,Petroleo Brasileiro S.A.- Petro,Energy,Oil & Gas Integrated
49,SID,Companhia Siderurgica Nacional ,Basic Materials,Steel
50,SUZ,Suzano S.A.,Basic Materials,Paper & Paper Products
51,TIMB,TIM S.A.,Communication Services,Telecom Services
52,USNZY,Usinas Siderurgicas de Minas Ge,Basic Materials,Steel
53,VALE,VALE S.A.,Basic Materials,Other Industrial Metals & Mining
54,DESP,"Despegar.com, Corp.",Consumer Cyclical,Travel Services
55,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology
56,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology
